Study_Hours,Attendance,Assignments,Previous_Marks,Result
4,57,10,72.5,1
5,77,1,55.5,1
3,61,5,62.5,1
7,83,8,100.0,1
8,76,10,94.0,1
8,56,9,92.0,1
8,75,4,94.5,1
3,59,1,49.5,0
8,72,3,80.0,1
6,62,3,67.0,1
2,79,2,44.5,0
9,93,5,98.5,1
3,98,7,77.0,1
7,75,7,82.5,1
2,68,1,48.0,0
9,77,7,99.5,1
2,65,9,60.5,1
8,61,3,74.5,1
10,86,6,100.0,1
2,76,10,75.0,1
10,51,4,73.5,1
9,61,3,71.5,1
8,98,4,97.0,1
6,83,8,86.5,1
9,64,2,88.0,1
5,99,5,82.5,1
1,99,9,65.5,1
6,71,7,70.5,1
9,82,9,95.0,1
9,65,4,89.5,1
1,88,5,49.0,0
7,50,4,63.0,1
2,83,7,62.5,1
7,56,2,73.0,1
3,95,2,61.5,1
8,72,8,88.0,1
8,67,6,90.5,1
9,96,6,100.0,1
5,79,8,81.5,1
3,79,4,61.5,1
4,63,5,62.5,1
8,69,4,78.5,1
3,91,7,65.5,1
10,97,2,100.0,1
3,99,9,76.5,1
1,99,7,58.5,1
3,60,2,47.0,0
2,99,3,67.5,1
3,84,6,63.0,1
3,87,6,80.5,1
3,73,2,57.5,1
4,98,8,81.0,1
3,99,5,75.5,1
4,59,10,62.5,1
7,68,5,69.0,1
2,82,6,58.0,1
5,50,10,72.0,1
7,93,1,84.5,1
8,84,10,97.0,1
2,76,6,68.0,1
1,59,8,41.5,0
2,92,2,61.0,1
7,52,2,60.0,1
9,75,2,91.5,1
6,77,6,86.5,1
10,72,5,91.0,1
8,73,10,92.5,1
3,50,5,57.0,1
7,52,6,78.0,1
7,76,5,90.0,1
4,93,2,66.5,1
8,64,8,88.0,1
8,66,9,85.0,1
10,53,5,94.5,1
7,84,8,96.0,1
4,97,2,63.5,1
3,71,7,59.5,1
10,69,1,84.5,1
4,74,8,65.0,1
3,87,1,58.5,1
7,53,4,67.5,1
2,95,6,76.5,1
8,88,3,84.0,1
9,81,6,100.0,1
4,77,3,69.5,1
10,94,5,100.0,1
6,68,6,72.0,1
3,57,5,46.5,0
10,61,2,87.5,1
9,89,8,100.0,1
6,91,9,86.5,1
2,80,9,66.0,1
4,65,7,56.5,1
4,75,10,76.5,1
1,79,3,40.5,0
8,64,10,100.0,1
2,83,7,63.5,1
1,74,6,58.0,1
2,80,4,63.0,1
10,54,1,88.0,1
